,year,month,mean_temp,mean_overall_elect_use
140,2016,9,28.3,647.4
141,2016,10,28.3,650.1
142,2016,11,27.4,644.4
143,2016,12,27.4,574.8
144,2017,1,26.9,566.7
145,2017,2,26.9,573.6
146,2017,3,27.4,532.6
147,2017,4,27.8,583.3
148,2017,5,28.5,619.4
149,2017,6,28.5,648.6
150,2017,7,28.3,697.6
151,2017,8,28.1,629.7
152,2017,9,28.0,612.6
153,2017,10,27.9,621.5
154,2017,11,27.1,621.6
155,2017,12,27.0,582.6
156,2018,1,26.1,558.2
157,2018,2,27.2,521.8
158,2018,3,28.0,533.6
159,2018,4,28.5,611.0
160,2018,5,28.7,639.2
161,2018,6,28.4,676.7
162,2018,7,28.5,634.1
163,2018,8,28.5,619.3
164,2018,9,28.0,631.7
165,2018,10,27.9,631.8
166,2018,11,27.3,609.7
167,2018,12,27.6,564.4
168,2019,1,28.0,591.2
169,2019,2,28.2,610.6
170,2019,3,28.7,595.2
171,2019,4,28.6,650.1
172,2019,5,29.3,667.4
173,2019,6,28.4,689.3
174,2019,7,29.0,644.4
175,2019,8,29.1,663.8
176,2019,9,29.0,685.1
177,2019,10,28.1,661.8
178,2019,11,28.0,636.5
179,2019,12,26.7,586.0
180,2020,1,27.7,563.2
181,2020,2,27.9,597.1
182,2020,3,28.6,618.3
183,2020,4,28.9,667.7
184,2020,5,28.9,661.9
185,2020,6,28.1,868.1
186,2020,7,27.9,885.0
187,2020,8,28.3,714.0
188,2020,9,27.5,678.8
189,2020,10,28.3,656.3
190,2020,11,27.2,673.8
191,2020,12,27.2,660.4
192,2021,1,26.0,620.6
193,2021,2,27.3,591.9
194,2021,3,27.9,593.8
195,2021,4,28.2,670.8
196,2021,5,28.7,712.3
197,2021,6,28.5,780.4
198,2021,7,28.6,751.2
199,2021,8,27.6,763.4
200,2021,9,28.3,701.7
201,2021,10,28.5,684.3
202,2021,11,27.6,708.6
203,2021,12,27.7,698.6
204,2022,1,27.4,651.5
205,2022,2,27.3,655.0
206,2022,3,28.1,621.4
207,2022,4,28.1,668.3
208,2022,5,29.2,705.6
209,2022,6,27.9,721.7
